epoch,kernel,input,filter,weight
0,0,0,0,0.042803965508937836
0,0,0,1,0.10859270393848419
0,0,0,2,0.014279953204095364
0,0,0,3,0.10398221760988235
0,0,0,4,0.06433411687612534
0,0,1,0,0.17207282781600952
0,0,1,1,0.05130820721387863
0,0,1,2,0.03615659102797508
0,0,1,3,-0.04519432410597801
0,0,1,4,0.21222104132175446
0,0,2,0,0.16712884604930878
0,0,2,1,-0.1745147556066513
0,0,2,2,-0.19874294102191925
0,0,2,3,0.1912761777639389
0,0,2,4,-0.1455392688512802
0,0,3,0,-0.07850811630487442
0,0,3,1,0.18127384781837463
0,0,3,2,-0.04847528040409088
0,0,3,3,0.13020195066928864
0,0,3,4,-0.10878090560436249
0,1,0,0,-0.14838837087154388
0,1,0,1,0.021696114912629128
0,1,0,2,-0.027475779876112938
0,1,0,3,-0.1808243989944458
0,1,0,4,0.0411224327981472
0,1,1,0,-0.22280149161815643
0,1,1,1,-0.20956124365329742
0,1,1,2,-0.02545192465186119
0,1,1,3,-0.08181354403495789
0,1,1,4,-0.21353015303611755
0,1,2,0,-0.08307096362113953
0,1,2,1,0.021790985018014908
0,1,2,2,0.07058350741863251
0,1,2,3,-0.1001351848244667
0,1,2,4,-0.18636901676654816
0,1,3,0,-0.05742224305868149
0,1,3,1,-0.1262521743774414
0,1,3,2,-0.09161621332168579
0,1,3,3,0.19407513737678528
0,1,3,4,0.10436312854290009
0,2,0,0,0.0052475519478321075
0,2,0,1,0.1687530130147934
0,2,0,2,0.06318479031324387
0,2,0,3,0.09827867150306702
0,2,0,4,0.04781302809715271
0,2,1,0,0.05999312177300453
0,2,1,1,-0.030498722568154335
0,2,1,2,0.1975030153989792
0,2,1,3,0.02684399113059044
0,2,1,4,0.1797640025615692
0,2,2,0,0.16865211725234985
0,2,2,1,0.15805833041667938
0,2,2,2,0.11195813864469528
0,2,2,3,-0.04752294719219208
0,2,2,4,-0.15450799465179443
0,2,3,0,-0.227903351187706
0,2,3,1,-0.0947878435254097
0,2,3,2,-0.12260843813419342
0,2,3,3,0.09492706507444382
0,2,3,4,0.1738901287317276
0,3,0,0,-0.10995186865329742
0,3,0,1,0.09651868790388107
0,3,0,2,0.19130955636501312
0,3,0,3,-0.013841758482158184
0,3,0,4,0.011098883114755154
0,3,1,0,-0.1515955924987793
0,3,1,1,0.14156578481197357
0,3,1,2,0.12582768499851227
0,3,1,3,0.16581811010837555
0,3,1,4,0.004339586943387985
0,3,2,0,0.05732713267207146
0,3,2,1,0.05841489136219025
0,3,2,2,-0.21261613070964813
0,3,2,3,0.13576073944568634
0,3,2,4,-0.1800256222486496
0,3,3,0,-0.11233367025852203
0,3,3,1,0.11909813433885574
0,3,3,2,-0.23331798613071442
0,3,3,3,-0.16816014051437378
0,3,3,4,0.17180924117565155
0,4,0,0,-0.22398605942726135
0,4,0,1,-0.12338388711214066
0,4,0,2,-0.16009418666362762
0,4,0,3,0.042139727622270584
0,4,0,4,0.04519207403063774
0,4,1,0,0.18613743782043457
0,4,1,1,-0.06499908119440079
0,4,1,2,-0.10001379996538162
0,4,1,3,-0.16853806376457214
0,4,1,4,0.12065709382295609
0,4,2,0,-0.21194720268249512
0,4,2,1,0.023205529898405075
0,4,2,2,0.030577778816223145
0,4,2,3,0.15991023182868958
0,4,2,4,-0.021717695519328117
0,4,3,0,0.024273639544844627
0,4,3,1,-0.20983785390853882
0,4,3,2,-0.0084390789270401
0,4,3,3,0.23185227811336517
0,4,3,4,-0.05024855583906174
0,5,0,0,-0.03754809498786926
0,5,0,1,-0.17805129289627075
0,5,0,2,0.22414065897464752
0,5,0,3,0.0913388580083847
0,5,0,4,-0.13337504863739014
0,5,1,0,-0.12253745645284653
0,5,1,1,-0.04898260161280632
0,5,1,2,-0.2035588026046753
0,5,1,3,-0.003045400371775031
0,5,1,4,-0.09705303609371185
0,5,2,0,0.21005864441394806
0,5,2,1,-0.03781262785196304
0,5,2,2,-0.17215068638324738
0,5,2,3,-0.0361260250210762
0,5,2,4,-0.0134023018181324
0,5,3,0,0.21624250710010529
0,5,3,1,-0.12705408036708832
0,5,3,2,0.02384842000901699
0,5,3,3,0.05630413815379143
0,5,3,4,-0.01718474179506302
0,6,0,0,-0.218686044216156
0,6,0,1,-0.09711353480815887
0,6,0,2,-0.16460806131362915
0,6,0,3,-0.11558680981397629
0,6,0,4,-0.10241873562335968
0,6,1,0,0.18473191559314728
0,6,1,1,-0.08044058829545975
0,6,1,2,0.11994028836488724
0,6,1,3,-0.2247156947851181
0,6,1,4,0.06886310875415802
0,6,2,0,-0.03349015861749649
0,6,2,1,-0.18147854506969452
0,6,2,2,-0.16287851333618164
0,6,2,3,0.08837553858757019
0,6,2,4,-0.09667625278234482
0,6,3,0,0.22820110619068146
0,6,3,1,-0.0015325042186304927
0,6,3,2,0.013139794580638409
0,6,3,3,0.19930583238601685
0,6,3,4,0.22259554266929626
0,7,0,0,0.08271799236536026
0,7,0,1,0.03839878737926483
0,7,0,2,0.20018985867500305
0,7,0,3,-0.2185979038476944
0,7,0,4,-0.13147799670696259
0,7,1,0,0.04009993001818657
0,7,1,1,0.15329329669475555
0,7,1,2,0.2006644755601883
0,7,1,3,0.22490955889225006
0,7,1,4,-0.14427892863750458
0,7,2,0,0.1087087020277977
0,7,2,1,-0.10486758500337601
0,7,2,2,-0.1479925662279129
0,7,2,3,-0.14300580322742462
0,7,2,4,0.22265993058681488
0,7,3,0,0.23337604105472565
0,7,3,1,-0.01130893174558878
0,7,3,2,0.03018915094435215
0,7,3,3,-0.06777828931808472
0,7,3,4,-0.14962944388389587
0,8,0,0,-0.09138593822717667
0,8,0,1,0.08549798280000687
0,8,0,2,0.04643290489912033
0,8,0,3,0.11812864243984222
0,8,0,4,-0.20514574646949768
0,8,1,0,-0.00790669210255146
0,8,1,1,-0.21419420838356018
0,8,1,2,0.05940534546971321
0,8,1,3,0.18281696736812592
0,8,1,4,-0.17033466696739197
0,8,2,0,-0.19394852221012115
0,8,2,1,0.10410501807928085
0,8,2,2,-0.225923553109169
0,8,2,3,-0.14270912110805511
0,8,2,4,-0.2034582793712616
0,8,3,0,-0.19805769622325897
0,8,3,1,-0.22698622941970825
0,8,3,2,0.20140647888183594
0,8,3,3,0.18082575500011444
0,8,3,4,0.03564906120300293
0,9,0,0,-0.01130031980574131
0,9,0,1,0.21430173516273499
0,9,0,2,-0.13297396898269653
0,9,0,3,0.10007497668266296
0,9,0,4,-0.11473053693771362
0,9,1,0,0.052518367767333984
0,9,1,1,0.11897362023591995
0,9,1,2,-0.22537443041801453
0,9,1,3,0.18976609408855438
0,9,1,4,0.21436868607997894
0,9,2,0,-0.08777953684329987
0,9,2,1,-0.18108145892620087
0,9,2,2,-0.210404634475708
0,9,2,3,-0.04670509323477745
0,9,2,4,-0.05467106029391289
0,9,3,0,0.22641852498054504
0,9,3,1,0.17809201776981354
0,9,3,2,-0.1726876050233841
0,9,3,3,-0.08053228259086609
0,9,3,4,0.05056789517402649
0,10,0,0,-0.14805686473846436
0,10,0,1,-0.18428008258342743
0,10,0,2,-0.11787527054548264
0,10,0,3,0.13284984230995178
0,10,0,4,0.20237573981285095
0,10,1,0,-0.1670883744955063
0,10,1,1,0.17391431331634521
0,10,1,2,0.2102447748184204
0,10,1,3,0.18692636489868164
0,10,1,4,-0.013318877667188644
0,10,2,0,-0.11347964406013489
0,10,2,1,-0.061042699962854385
0,10,2,2,-0.06566488742828369
0,10,2,3,0.08297194540500641
0,10,2,4,-0.07127240300178528
0,10,3,0,-0.17474645376205444
0,10,3,1,0.0640731006860733
0,10,3,2,-0.08643625676631927
0,10,3,3,-0.08301948755979538
0,10,3,4,-0.2301459014415741
0,11,0,0,-0.1513953059911728
0,11,0,1,0.20588278770446777
0,11,0,2,0.03418482467532158
0,11,0,3,0.10718593001365662
0,11,0,4,-0.11616018414497375
0,11,1,0,-0.15690332651138306
0,11,1,1,-0.2190891057252884
0,11,1,2,0.18468637764453888
0,11,1,3,-0.11167730391025543
0,11,1,4,-0.15251080691814423
0,11,2,0,-0.1722070872783661
0,11,2,1,0.22276347875595093
0,11,2,2,0.14609599113464355
