epoch,kernel,input,filter,weight
0,0,0,0,3.429633278964414
0,0,0,1,3.2560777041093467
0,0,0,2,4.190041047280257
0,0,0,3,1.9236639913877847
0,0,0,4,-1.5176064295882723
0,0,1,0,2.5335089488241636
0,0,1,1,3.761600828588112
0,0,1,2,-2.2996973088992587
0,0,1,3,1.6520085097168844
0,0,1,4,-3.243859633640633
0,0,2,0,-1.6693388363049895
0,0,2,1,2.1597132418460037
0,0,2,2,3.1135944132905737
0,0,2,3,-2.830068260325229
0,0,2,4,-3.1754441113970904
0,0,3,0,2.111042892786821
0,0,3,1,2.1179161543367067
0,0,3,2,2.3437212943282524
0,0,3,3,-1.8413533240638886
0,0,3,4,-5.831312900144389
0,0,4,0,-3.2151747370044976
0,0,4,1,1.6083967740324117
0,0,4,2,-2.340587442932785
0,0,4,3,1.8216535766848592
0,0,4,4,-3.081044228074232
0,1,0,0,3.060984636223065
0,1,0,1,-2.0394609655058584
0,1,0,2,2.376429259987311
0,1,0,3,-3.0462376195755994
0,1,0,4,1.8452405562531868
0,1,1,0,-2.7507002579974724
0,1,1,1,2.8206712988690708
0,1,1,2,1.5045244793845622
0,1,1,3,-2.009189341816421
0,1,1,4,-2.0837736791090387
0,1,2,0,1.7022560080699636
0,1,2,1,-2.4680918588931555
0,1,2,2,-2.201562783438081
0,1,2,3,-5.260151392228191
0,1,2,4,1.7739259851432174
0,1,3,0,-1.58128348027576
0,1,3,1,1.9702476264793243
0,1,3,2,1.6343431946578721
0,1,3,3,-2.6938327251198806
0,1,3,4,2.038793321717954
0,1,4,0,-1.8943691036368469
0,1,4,1,-2.814524848796658
0,1,4,2,-3.1329924255684656
0,1,4,3,-3.127469745896904
0,1,4,4,2.143905615413716
0,2,0,0,-1.9504648535160913
0,2,0,1,2.4698874875674255
0,2,0,2,-2.744334693628079
0,2,0,3,1.9673532913112322
0,2,0,4,-4.717092907386964
0,2,1,0,2.475534955882046
0,2,1,1,4.4484830845088075
0,2,1,2,-2.7898636989500827
0,2,1,3,2.1421034043311304
0,2,1,4,-2.0907484486518664
0,2,2,0,-1.5857594650622369
0,2,2,1,1.698662749944555
0,2,2,2,-4.400604789295617
0,2,2,3,1.5313352818225854
0,2,2,4,1.5473511431825853
0,2,3,0,-1.6938979243618906
0,2,3,1,-2.182536034191915
0,2,3,2,-2.2935768948702218
0,2,3,3,-3.084060728951072
0,2,3,4,-1.7617268343766976
0,2,4,0,-2.363334067144139
0,2,4,1,-2.468033308433719
0,2,4,2,1.9085230067379948
0,2,4,3,-3.2223147015264386
